pk,pk,strength
1019541,1064235,151
1019541,1064235,2741
1020215,1064235,151
1020215,1064235,2741
1020960,1064235,151
1020960,1064235,2741
1042098,1064235,151
1042098,1064235,2741
1047817,1064235,151
1047817,1064235,2741
1020912,1066769,4200
1018511,1067955,2678
1018511,1067955,3165
1019580,1067955,8006
1019602,1067955,943
1019602,1067955,1005
1020477,1067955,2557
1020633,1067955,11232
1020851,1067955,2739
1020933,1067955,2435
1020983,1067955,2374
1020983,1067955,10044
1087976,1067955,12601
1041526,1069882,9253
1018511,1087976,12601
1019580,1087976,12601
1019602,1087976,12601
1020477,1087976,12601
1020633,1087976,12601
1020851,1087976,12601
1020933,1087976,12601
1020983,1087976,12601
1067955,1087976,12601
1018488,1088433,2861
1019581,1088433,2861
1019581,1088433,8766
1019593,1088433,2861
1019648,1088433,2861
1019648,1088433,8766
1019833,1088433,2861
1019847,1088433,2861
1020029,1088433,2861
1020029,1088433,8766
1020428,1088433,2861
1020596,1088433,2861
1020644,1088433,2861
1020644,1088433,8766
1047265,1088433,2861
1062815,1088433,2861
1062815,1088433,8766
1018973,1088477,2922
1019079,1088477,1035
1020844,1094736,3378
1048610,1095238,31
1053293,1095238,31
1053293,1095238,15311
1054534,1095238,31
1020246,1097529,365
1020246,1097529,6818
1020844,1097529,365
1019593,1097935,1551
